N,Insertion_mean,Insertion_std,OptLoad_mean,OptLoad_std,ExactLIFO_mean,ExactLIFO_std,Bazelmans_mean,Bazelmans_std,FoodMatch_mean,FoodMatch_std
10,69.54,29.33,0.00,0.00,42.42,25.74,54.34,20.44,40.96,22.76
20,83.73,27.59,0.00,0.00,58.70,33.25,60.20,22.41,54.98,26.40
40,100.61,38.23,0.00,0.00,66.78,36.60,62.67,24.39,55.98,24.28
60,102.72,36.15,0.00,0.00,69.75,44.10,59.73,21.89,64.26,35.55
80,109.16,34.26,0.00,0.00,53.95,32.70,60.24,21.07,50.32,27.70
100,115.86,41.78,42.00,0.00,72.42,62.46,58.76,23.06,62.39,43.57
