solver_norm,n_requests,served,lu_cost,distance,runtime_s
FoodMatch,5,5.2,13.0,58033.259,2.3253
FoodMatch,10,11.3,44.8,20260.587,0.43
FoodMatch,15,8.9,24.0,62420.85800000001,7.8613
FoodMatch,20,8.8,34.6,9112.037,0.7316
FoodMatch,25,8.5,19.8,45733.871,13.250499999999999
FoodMatch,30,10.5,30.0,51761.397000000004,16.5594
FoodMatch,35,7.5,18.5,47920.759,17.2792
FoodMatch,40,13.0,72.6,17493.095,2.5227
Insertion,5,6.1,15.8,103403.245,10.4104
Insertion,10,14.4,71.0,26261.944,3.4318
Insertion,15,11.3,51.8,126800.406,126.7604
Insertion,20,14.1,79.6,20677.387,8.381
Insertion,25,14.1,55.0,131778.06300000002,210.3455
Insertion,30,12.9,50.6,144299.508,252.0114
Insertion,35,10.1,36.0,135542.099,218.4505
Insertion,40,17.1,111.4,23139.443,25.3896
OptLoad,5,5.1,13.2,68265.55600000001,7.014100000000001
OptLoad,10,8.1,14.1,12989.03,0.6357999999999999
OptLoad,15,2.1,4.8,17923.860999999997,12.6718
OptLoad,20,6.3,7.0,4492.7,0.5447
OptLoad,25,0.0,0.0,0.0,13.970500000000001
OptLoad,30,0.0,0.0,0.0,19.965600000000002
OptLoad,35,0.0,0.0,0.0,17.503400000000003
OptLoad,40,6.2,8.0,2091.1220000000003,0.6868000000000001
