solver_norm,n_requests,served,lu_cost,distance,runtime_s
Exact,2,4.9,6.6,12202.692,0.18814
Exact,5,11.2,3.2,8071.82,360.0485
Exact,10,,,,
FoodMatch,2,5.2,11.4,14460.042,0.0744
FoodMatch,5,5,11.3,12929.452,0.1332
FoodMatch,10,6.1,14.5,12290.79,0.2242
Insertion,2,4.7,10.2,15050.187,0.1198
Insertion,5,9.5,31.2,29658.418,0.4897
Insertion,10,10.8,42.4,36798.209,1.5777
LIFO,2,6.1,14.8,19159.441,0.0843
LIFO,5,11.4,39.6,33053.286,0.2014
LIFO,10,16.1,68.6,39783.644,0.4069
OptLoad,2,1,7.1,7655.572,0.1627
OptLoad,5,5.8,16.2,20176.718,0.4825
OptLoad,10,7.7,13.9,15188.943,1.0014
