solver,n_requests,hypervolume
FoodMatch,5,99793881.25800002
FoodMatch,10,247061984.72400004
FoodMatch,15,145042167.661
FoodMatch,20,209102367.848
FoodMatch,25,182404322.816
FoodMatch,30,197936547.445
FoodMatch,35,154099858.54600003
FoodMatch,40,234175039.396
Insertion,5,68381786.19600001
Insertion,10,246328292.01600003
Insertion,15,65790715.73800002
Insertion,20,228013029.25800005
Insertion,25,67691221.89200002
Insertion,30,37340572.01800002
Insertion,35,49284091.858000025
Insertion,40,188543532.44
OptLoad,5,73765978.5359181
OptLoad,10,209010301.675114
OptLoad,15,28024257.318032254
OptLoad,20,192153519.444
OptLoad,25,0.0
OptLoad,30,0.0
OptLoad,35,0.0
OptLoad,40,188859965.8463181
