solver,threads,hypervolume
OptLoad,1,29402.873000000003
OptLoad,2,29402.873000000003
OptLoad,4,29402.873000000003
OptLoad,8,29402.873000000003
OptLoad,16,29402.873000000003
OptLoad,24,29402.873000000003
