step,experiment,solver,network,n_requests,run,capacity,tw_duration,threads,runtime_ms,pareto_size,route_index,served,lu_cost,distance,route,clusters,prefixes_explored,prefixes_pruned,pruned_capacity,pruned_lu_bound,pruned_seed_lu,backtrack_calls,cluster_orderings,cross_product,valid_orderings,seed_lu,seed_dist,lb_lu,status,timeout
step3,network_scalability,FoodMatch,london,20,3,,,,230,1,1,10,32,12603.54,,,,,,,,,,,,,,,success,0
step3,network_scalability,FoodMatch,london,20,4,,,,385,1,1,11,38,9395.89,,,,,,,,,,,,,,,success,0
step3,network_scalability,FoodMatch,london,20,5,,,,355,1,1,13,45,5862.29,,,,,,,,,,,,,,,success,0
step3,network_scalability,FoodMatch,london,20,6,,,,1006,1,1,3,8,579.67,,,,,,,,,,,,,,,success,0
step3,network_scalability,FoodMatch,london,20,7,,,,822,1,1,8,21,5770.19,,,,,,,,,,,,,,,success,0
step3,network_scalability,FoodMatch,london,20,8,,,,2045,1,1,14,72,22199.54,,,,,,,,,,,,,,,success,0
step3,network_scalability,FoodMatch,london,20,9,,,,705,1,1,15,88,11518.10,,,,,,,,,,,,,,,success,0
step3,network_scalability,FoodMatch,london,20,10,,,,970,1,1,5,12,1905.24,,,,,,,,,,,,,,,success,0
step3,network_scalability,OptLoad,oldenburg,20,1,,,,566,0,0,0,0,0.00,,17,54,0,0,0,0,54,23,0,0,590,212024.72,126,success,0
step3,network_scalability,OptLoad,oldenburg,20,2,,,,441,1,1,11,28,21295.88,"[Depot:2225,S14:727,S17:5542,S20:2058,D17:124,Depot:2225]",17,11,0,0,0,0,11,6,2,2,814,211516.43,142,success,0
step3,network_scalability,OptLoad,oldenburg,20,3,,,,417,0,0,0,0,0.00,,17,17,0,0,0,0,17,8,0,0,854,187384.33,120,success,0
step3,network_scalability,OptLoad,oldenburg,20,4,,,,405,0,0,0,0,0.00,,18,31,0,0,0,0,31,14,0,0,558,178284.30,96,success,0
step3,network_scalability,OptLoad,oldenburg,20,5,,,,476,0,0,0,0,0.00,,18,26,0,0,0,0,26,12,0,0,720,205366.23,116,success,0
step3,network_scalability,OptLoad,oldenburg,20,6,,,,391,0,0,0,0,0.00,,19,20,0,0,0,0,20,9,0,0,812,164730.30,120,success,0
step3,network_scalability,OptLoad,oldenburg,20,7,,,,435,0,0,0,0,0.00,,19,23,0,0,0,0,23,11,0,0,658,194554.12,102,success,0
step3,network_scalability,OptLoad,oldenburg,20,8,,,,408,0,0,0,0,0.00,,19,48,0,0,0,0,48,22,0,0,802,191513.15,120,success,0
step3,network_scalability,OptLoad,oldenburg,20,9,,,,447,0,0,0,0,0.00,,17,19,0,0,0,0,19,10,0,0,700,181763.04,128,success,0
step3,network_scalability,OptLoad,oldenburg,20,10,,,,413,0,0,0,0,0.00,,18,14,0,0,0,0,14,7,0,0,710,231746.40,130,success,0
step3,network_scalability,OptLoad,california,20,1,,,,2936,0,0,0,0,0.00,,16,21,0,0,0,0,21,12,0,0,746,22752300.96,116,success,0
step3,network_scalability,OptLoad,california,20,2,,,,1452,0,0,0,0,0.00,,18,9,0,0,0,0,9,5,0,0,814,20728298.82,126,success,0
step3,network_scalability,OptLoad,california,20,3,,,,2862,0,0,0,0,0.00,,17,15,0,0,0,0,15,8,0,0,748,25156732.10,120,success,0
step3,network_scalability,OptLoad,california,20,4,,,,1396,0,0,0,0,0.00,,18,17,0,0,0,0,17,10,0,0,758,21443168.11,140,success,0
step3,network_scalability,OptLoad,california,20,5,,,,2247,0,0,0,0,0.00,,19,10,0,0,0,0,10,6,0,0,660,24619468.53,118,success,0
step3,network_scalability,OptLoad,california,20,6,,,,1800,0,0,0,0,0.00,,18,19,0,0,0,0,19,10,0,0,574,22946596.27,116,success,0
step3,network_scalability,OptLoad,california,20,7,,,,1914,0,0,0,0,0.00,,20,24,0,0,0,0,24,14,0,0,816,26507639.65,124,success,0
step3,network_scalability,OptLoad,california,20,8,,,,2274,0,0,0,0,0.00,,18,11,0,0,0,0,11,7,0,0,844,19932138.92,142,success,0
step3,network_scalability,OptLoad,california,20,9,,,,1899,0,0,0,0,0.00,,17,12,0,0,0,0,12,6,0,0,696,22264573.81,116,success,0
step3,network_scalability,OptLoad,california,20,10,,,,1683,0,0,0,0,0.00,,19,20,0,0,0,0,20,11,1,0,648,21820058.90,118,success,0
step3,network_scalability,OptLoad,london,20,1,,,,517,1,1,9,9,5711.07,"[Depot:278790,S2:28799,S3:28575,Depot:278790]",9,5,0,0,0,0,5,2,2,2,1040,87805.55,114,success,0
step3,network_scalability,OptLoad,london,20,2,,,,667,1,1,0,7,5465.98,"[Depot:225395,S2:225399,S6:211003,Depot:225395]",9,4,0,0,0,0,4,2,1,1,1316,125971.26,134,success,0
step3,network_scalability,OptLoad,london,20,3,,,,359,0,0,0,0,0.00,,14,21,0,0,0,0,21,9,0,0,1358,51216.28,130,success,0
step3,network_scalability,OptLoad,london,20,4,,,,248,2,1,10,10,7196.38,"[Depot:86890,S6:78653,S18:75322,Depot:86890]",11,5,0,0,0,0,5,2,2,2,1338,76768.64,138,success,0
step3,network_scalability,OptLoad,london,20,4,,,,248,2,2,10,10,7196.38,"[Depot:86890,S18:75322,S6:78653,Depot:86890]",11,5,0,0,0,0,5,2,2,2,1338,76768.64,138,success,0
step3,network_scalability,OptLoad,london,20,5,,,,333,2,1,8,8,3162.33,"[Depot:177590,S14:180549,S13:171094,Depot:177590]",13,5,0,0,0,0,5,2,2,2,1064,52270.75,102,success,0
step3,network_scalability,OptLoad,london,20,5,,,,333,2,2,8,8,3162.33,"[Depot:177590,S13:171094,S14:180549,Depot:177590]",13,5,0,0,0,0,5,2,2,2,1064,52270.75,102,success,0
step3,network_scalability,OptLoad,london,20,6,,,,1012,2,1,10,10,6453.32,"[Depot:265576,S4:98042,S11:97066,S19:265746,Depot:265576]",9,7,0,0,0,0,7,3,2,2,1026,197805.10,116,success,0
step3,network_scalability,OptLoad,london,20,6,,,,1012,2,2,10,10,6453.32,"[Depot:265576,S4:98042,S19:265746,S11:97066,Depot:265576]",9,7,0,0,0,0,7,3,2,2,1026,197805.10,116,success,0
step3,network_scalability,OptLoad,london,20,7,,,,634,2,1,10,10,3784.38,"[Depot:252949,S9:166862,S10:155313,Depot:252949]",9,5,0,0,0,0,5,2,2,2,1310,92730.15,140,success,0
step3,network_scalability,OptLoad,london,20,7,,,,634,2,2,10,10,3784.38,"[Depot:252949,S10:155313,S9:166862,Depot:252949]",9,5,0,0,0,0,5,2,2,2,1310,92730.15,140,success,0
step3,network_scalability,OptLoad,london,20,8,,,,434,2,1,8,8,2513.50,"[Depot:80016,S16:80303,S5:81557,Depot:80016]",11,5,0,0,0,0,5,2,2,2,1196,112543.37,118,success,0
step3,network_scalability,OptLoad,london,20,8,,,,434,2,2,8,8,2513.50,"[Depot:80016,S5:81557,S16:80303,Depot:80016]",11,5,0,0,0,0,5,2,2,2,1196,112543.37,118,success,0
step3,network_scalability,OptLoad,london,20,9,,,,291,0,0,0,0,0.00,,13,9,0,0,0,0,9,4,0,0,1106,42029.59,108,success,0
step3,network_scalability,OptLoad,london,20,10,,,,790,1,1,8,8,10640.04,"[Depot:70035,S15:70030,S18:74342,S10:74476,Depot:70035]",8,16,0,0,0,0,16,2,2,2,914,110553.45,92,success,0
step3,network_scalability,LIFO,oldenburg,20,1,,,,532,1,1,22,96,51318.98,"[Depot:1454,S20:4823,S10:1384,D20:2766,S11:3109,S5:2571,D11:3376,S7:5516,S3:1029,D10:4637,S17:4450,S6:4893,D3:3400,D6:5682,Depot:1454]",,,,,,,,,,,,,,success,0
step3,network_scalability,LIFO,oldenburg,20,2,,,,589,1,1,21,101,47709.54,"[Depot:2225,S2:1168,S14:727,S5:5783,D2:2317,S7:2657,S13:3403,D5:4630,S8:2993,D13:653,S12:1201,S20:2058,D12:5530,Depot:2225]",,,,,,,,,,,,,,success,0
step3,network_scalability,LIFO,oldenburg,20,3,,,,538,1,1,19,77,49012.78,"[Depot:5852,S19:5296,S14:3140,D19:4277,S12:4111,S9:4674,S20:427,D9:968,D20:2429,S6:2945,D12:1000,D6:4378,Depot:5852]",,,,,,,,,,,,,,success,0
step3,network_scalability,LIFO,oldenburg,20,4,,,,535,1,1,22,101,48737.51,"[Depot:1648,S4:2102,S10:5032,S16:5362,D16:2512,S13:5872,D10:2244,D4:1521,S2:845,S5:1278,S1:506,S3:624,D5:729,D1:1102,D2:1164,S12:4302,D12:5680,D3:5245,Depot:1648]",,,,,,,,,,,,,,success,0
