solver_norm,n_requests,runtime_s
Exact,2,0.182975
Exact,5,306.253008196721
Exact,10,
FoodMatch,2,0.0744
FoodMatch,5,0.1332
FoodMatch,10,0.2242
Insertion,2,0.1198
Insertion,5,0.4897
Insertion,10,1.5777
LIFO,2,0.0843
LIFO,5,0.2014
LIFO,10,0.4069
OptLoad,2,0.167818181818182
OptLoad,5,0.954282051282051
OptLoad,10,2.35603743315508
