step,experiment,solver,network,n_requests,run,capacity,tw_duration,threads,runtime_ms,pareto_size,route_index,served,lu_cost,distance,route,clusters,prefixes_explored,prefixes_pruned,pruned_capacity,pruned_lu_bound,pruned_seed_lu,backtrack_calls,cluster_orderings,cross_product,valid_orderings,seed_lu,seed_dist,lb_lu,status,timeout
step2,scalability_requests,FoodMatch,london,40,2,,,,523,1,1,12,75,2736.89,,,,,,,,,,,,,,,success,0
step2,scalability_requests,FoodMatch,london,40,3,,,,2081,1,1,12,79,26206.91,,,,,,,,,,,,,,,success,0
step2,scalability_requests,FoodMatch,london,40,4,,,,1375,1,1,9,34,17732.52,,,,,,,,,,,,,,,success,0
step2,scalability_requests,FoodMatch,london,40,5,,,,490,1,1,18,92,12314.37,,,,,,,,,,,,,,,success,0
step2,scalability_requests,FoodMatch,london,40,6,,,,1929,1,1,11,42,16393.32,,,,,,,,,,,,,,,success,0
step2,scalability_requests,FoodMatch,london,40,7,,,,1864,1,1,10,35,14735.84,,,,,,,,,,,,,,,success,0
step2,scalability_requests,FoodMatch,london,40,8,,,,1154,1,1,12,56,16112.29,,,,,,,,,,,,,,,success,0
step2,scalability_requests,FoodMatch,london,40,9,,,,563,1,1,12,95,9425.34,,,,,,,,,,,,,,,success,0
step2,scalability_requests,FoodMatch,london,40,10,,,,9954,1,1,20,115,30092.35,,,,,,,,,,,,,,,success,0
step2,scalability_requests,Insertion,london,60,1,,,,87636,1,1,19,108,54202.17,,,,,,,,,,,,,,,success,0
step2,scalability_requests,Insertion,london,60,2,,,,31456,1,1,11,46,46406.40,,,,,,,,,,,,,,,success,0
step2,scalability_requests,Insertion,london,60,3,,,,77976,1,1,16,122,33573.87,,,,,,,,,,,,,,,success,0
step2,scalability_requests,Insertion,london,60,4,,,,96781,1,1,20,146,36974.50,,,,,,,,,,,,,,,success,0
step2,scalability_requests,Insertion,london,60,5,,,,186585,1,1,18,120,30766.59,,,,,,,,,,,,,,,success,0
step2,scalability_requests,Insertion,london,60,6,,,,53205,1,1,16,108,27495.84,,,,,,,,,,,,,,,success,0
step2,scalability_requests,Insertion,london,60,7,,,,37056,1,1,16,162,24361.12,,,,,,,,,,,,,,,success,0
step2,scalability_requests,Insertion,london,60,8,,,,90925,1,1,17,84,23004.70,,,,,,,,,,,,,,,success,0
step2,scalability_requests,Insertion,london,60,9,,,,47285,1,1,16,60,22578.46,,,,,,,,,,,,,,,success,0
step2,scalability_requests,Insertion,london,60,10,,,,30085,1,1,11,64,22751.53,,,,,,,,,,,,,,,success,0
step2,scalability_requests,FoodMatch,london,60,1,,,,5436,1,1,16,69,29531.97,,,,,,,,,,,,,,,success,0
step2,scalability_requests,FoodMatch,london,60,2,,,,2050,1,1,8,19,17154.86,,,,,,,,,,,,,,,success,0
step2,scalability_requests,FoodMatch,london,60,3,,,,4864,1,1,10,42,28148.58,,,,,,,,,,,,,,,success,0
step2,scalability_requests,FoodMatch,london,60,4,,,,5302,1,1,11,52,18272.04,,,,,,,,,,,,,,,success,0
step2,scalability_requests,FoodMatch,london,60,5,,,,11915,1,1,17,91,15217.53,,,,,,,,,,,,,,,success,0
step2,scalability_requests,FoodMatch,london,60,6,,,,1673,1,1,9,37,14924.52,,,,,,,,,,,,,,,success,0
step2,scalability_requests,FoodMatch,london,60,7,,,,1288,1,1,11,30,357.52,,,,,,,,,,,,,,,success,0
step2,scalability_requests,FoodMatch,london,60,8,,,,5373,1,1,9,22,10690.55,,,,,,,,,,,,,,,success,0
step2,scalability_requests,FoodMatch,london,60,9,,,,4650,1,1,8,39,14040.73,,,,,,,,,,,,,,,success,0
step2,scalability_requests,FoodMatch,london,60,10,,,,3241,1,1,14,94,16766.79,,,,,,,,,,,,,,,success,0
step2,scalability_requests,Insertion,london,80,1,,,,41605,1,1,23,188,26439.78,,,,,,,,,,,,,,,success,0
step2,scalability_requests,Insertion,london,80,2,,,,19321,1,1,15,88,27967.64,,,,,,,,,,,,,,,success,0
step2,scalability_requests,Insertion,london,80,3,,,,61419,1,1,18,124,26580.40,,,,,,,,,,,,,,,success,0
step2,scalability_requests,Insertion,london,80,4,,,,22199,1,1,10,62,22901.45,,,,,,,,,,,,,,,success,0
step2,scalability_requests,Insertion,london,80,5,,,,45062,1,1,15,108,18400.54,,,,,,,,,,,,,,,success,0
step2,scalability_requests,Insertion,london,80,6,,,,23339,1,1,18,112,28702.99,,,,,,,,,,,,,,,success,0
step2,scalability_requests,Insertion,london,80,7,,,,59283,1,1,18,64,24732.67,,,,,,,,,,,,,,,success,0
step2,scalability_requests,Insertion,london,80,8,,,,52110,1,1,14,90,34799.06,,,,,,,,,,,,,,,success,0
step2,scalability_requests,Insertion,london,80,9,,,,16247,1,1,18,104,21477.79,,,,,,,,,,,,,,,success,0
step2,scalability_requests,Insertion,london,80,10,,,,148938,1,1,17,104,31080.03,,,,,,,,,,,,,,,success,0
step2,scalability_requests,FoodMatch,london,80,1,,,,1606,1,1,16,80,15629.36,,,,,,,,,,,,,,,success,0
step2,scalability_requests,FoodMatch,london,80,2,,,,1118,1,1,12,62,17923.38,,,,,,,,,,,,,,,success,0
step2,scalability_requests,FoodMatch,london,80,3,,,,3088,1,1,19,126,22871.49,,,,,,,,,,,,,,,success,0
step2,scalability_requests,FoodMatch,london,80,4,,,,1273,1,1,9,34,11336.73,,,,,,,,,,,,,,,success,0
step2,scalability_requests,FoodMatch,london,80,5,,,,1748,1,1,13,75,11788.70,,,,,,,,,,,,,,,success,0
step2,scalability_requests,FoodMatch,london,80,6,,,,1639,1,1,17,78,28159.09,,,,,,,,,,,,,,,success,0
step2,scalability_requests,FoodMatch,london,80,7,,,,3308,1,1,8,22,1562.82,,,,,,,,,,,,,,,success,0
step2,scalability_requests,FoodMatch,london,80,8,,,,6470,1,1,11,64,9859.33,,,,,,,,,,,,,,,success,0
step2,scalability_requests,FoodMatch,london,80,9,,,,1253,1,1,11,53,18323.70,,,,,,,,,,,,,,,success,0
step2,scalability_requests,FoodMatch,london,80,10,,,,15723,1,1,11,73,22190.74,,,,,,,,,,,,,,,success,0
