step,experiment,solver,network,n_requests,run,capacity,tw_duration,threads,runtime_ms,num_routes,total_served,total_lu_cost,total_distance,pareto_size,clusters,prefixes_explored,prefixes_pruned,pruned_capacity,pruned_lu_bound,pruned_seed_lu,backtrack_calls,cluster_orderings,cross_product,valid_orderings,seed_lu,seed_dist,lb_lu,status,timeout
step2,scalability_requests,Insertion,london,20,6,,,,17826,1,22,94,39262.14,1,,,,,,,,,,,,,,success,0
step2,scalability_requests,Insertion,london,20,7,,,,16455,1,17,106,20520.62,1,,,,,,,,,,,,,,success,0
step2,scalability_requests,Insertion,london,20,8,,,,15820,1,13,60,22312.31,1,,,,,,,,,,,,,,success,0
step2,scalability_requests,Insertion,london,20,9,,,,11543,1,20,154,11775.10,1,,,,,,,,,,,,,,success,0
step2,scalability_requests,Insertion,london,20,10,,,,12134,1,9,42,30585.57,1,,,,,,,,,,,,,,success,0
step2,scalability_requests,FoodMatch,london,20,1,,,,192,1,2,4,2222.23,1,,,,,,,,,,,,,,success,0
step2,scalability_requests,FoodMatch,london,20,2,,,,806,1,7,26,19063.68,1,,,,,,,,,,,,,,success,0
step2,scalability_requests,FoodMatch,london,20,3,,,,200,1,10,32,12603.54,1,,,,,,,,,,,,,,success,0
step2,scalability_requests,FoodMatch,london,20,4,,,,348,1,11,38,9395.89,1,,,,,,,,,,,,,,success,0
step2,scalability_requests,FoodMatch,london,20,5,,,,345,1,13,45,5862.29,1,,,,,,,,,,,,,,success,0
step2,scalability_requests,FoodMatch,london,20,6,,,,943,1,3,8,579.67,1,,,,,,,,,,,,,,success,0
step2,scalability_requests,FoodMatch,london,20,7,,,,805,1,8,21,5770.19,1,,,,,,,,,,,,,,success,0
step2,scalability_requests,FoodMatch,london,20,8,,,,1952,1,14,72,22199.54,1,,,,,,,,,,,,,,success,0
step2,scalability_requests,FoodMatch,london,20,9,,,,746,1,15,88,11518.10,1,,,,,,,,,,,,,,success,0
step2,scalability_requests,FoodMatch,london,20,10,,,,907,1,5,12,1905.24,1,,,,,,,,,,,,,,success,0
step2,scalability_requests,OptLoad,london,40,1,,,,915088,12,559,4333,331539.28,12,20,242,0,0,0,0,242,92,100000,100000,4082,238927.33,222,success,0
step2,scalability_requests,OptLoad,london,40,2,,,,223549,8,344,3544,112546.61,8,23,13982,0,0,0,0,13982,5145,100000,100000,5262,130873.89,246,success,0
step2,scalability_requests,OptLoad,london,40,3,,,,161253,17,1132,5332,461058.40,17,19,112,0,0,0,0,112,45,82944,82944,4794,231861.21,250,success,0
step2,scalability_requests,OptLoad,london,40,4,,,,161471,13,744,5993,305153.85,13,20,223,0,0,0,0,223,85,100000,100000,4936,201551.96,258,success,0
step2,scalability_requests,OptLoad,london,40,5,,,,1100505,1,26,152,10257.51,1,19,109847,0,0,0,0,109847,8577,100000,100000,4556,120587.37,240,success,0
step2,scalability_requests,OptLoad,london,40,6,,,,712594,17,594,4942,402135.23,17,19,163,0,0,0,0,163,62,100000,100000,4470,194760.62,232,success,0
step2,scalability_requests,OptLoad,london,40,7,,,,590053,31,1857,21534,663266.49,31,18,2107,0,0,0,0,2107,408,100000,100000,5138,139362.89,254,success,0
step2,scalability_requests,OptLoad,london,40,8,,,,277561,7,374,3090,164602.14,7,16,186,0,0,0,0,186,70,100000,100000,5390,137800.52,264,success,0
step2,scalability_requests,OptLoad,london,40,9,,,,334545,9,199,1202,112910.99,9,26,156,0,0,0,0,156,62,100000,100000,4320,124694.11,234,success,0
step2,scalability_requests,OptLoad,london,40,10,,,,1200000,0,0,0,0.00,0,,,,,,,,,,,,,,timeout,1
step2,scalability_requests,Insertion,london,40,1,,,,43752,1,18,106,40623.51,1,,,,,,,,,,,,,,success,0
step2,scalability_requests,Insertion,london,40,2,,,,7889,1,22,156,15202.21,1,,,,,,,,,,,,,,success,0
step2,scalability_requests,Insertion,london,40,3,,,,19747,1,12,54,30101.11,1,,,,,,,,,,,,,,success,0
step2,scalability_requests,Insertion,london,40,4,,,,17316,1,12,58,22134.71,1,,,,,,,,,,,,,,success,0
step2,scalability_requests,Insertion,london,40,5,,,,3096,1,15,96,12485.24,1,,,,,,,,,,,,,,success,0
step2,scalability_requests,Insertion,london,40,6,,,,36903,1,13,108,23192.01,1,,,,,,,,,,,,,,success,0
step2,scalability_requests,Insertion,london,40,7,,,,38929,1,16,102,19296.31,1,,,,,,,,,,,,,,success,0
step2,scalability_requests,Insertion,london,40,8,,,,21981,1,24,150,19858.89,1,,,,,,,,,,,,,,success,0
step2,scalability_requests,Insertion,london,40,9,,,,6365,1,24,200,18205.79,1,,,,,,,,,,,,,,success,0
step2,scalability_requests,Insertion,london,40,10,,,,70825,1,15,84,30294.65,1,,,,,,,,,,,,,,success,0
step2,scalability_requests,FoodMatch,london,40,1,,,,5864,1,14,103,29181.12,1,,,,,,,,,,,,,,success,0
step2,scalability_requests,FoodMatch,london,40,2,,,,523,1,12,75,2736.89,1,,,,,,,,,,,,,,success,0
step2,scalability_requests,FoodMatch,london,40,3,,,,2081,1,12,79,26206.91,1,,,,,,,,,,,,,,success,0
step2,scalability_requests,FoodMatch,london,40,4,,,,1375,1,9,34,17732.52,1,,,,,,,,,,,,,,success,0
step2,scalability_requests,FoodMatch,london,40,5,,,,490,1,18,92,12314.37,1,,,,,,,,,,,,,,success,0
step2,scalability_requests,FoodMatch,london,40,6,,,,1929,1,11,42,16393.32,1,,,,,,,,,,,,,,success,0
step2,scalability_requests,FoodMatch,london,40,7,,,,1864,1,10,35,14735.84,1,,,,,,,,,,,,,,success,0
step2,scalability_requests,FoodMatch,london,40,8,,,,1154,1,12,56,16112.29,1,,,,,,,,,,,,,,success,0
step2,scalability_requests,FoodMatch,london,40,9,,,,563,1,12,95,9425.34,1,,,,,,,,,,,,,,success,0
step2,scalability_requests,FoodMatch,london,40,10,,,,9954,1,20,115,30092.35,1,,,,,,,,,,,,,,success,0
step2,scalability_requests,OptLoad,london,60,1,,,,1200000,0,0,0,0.00,0,,,,,,,,,,,,,,timeout,1
step2,scalability_requests,OptLoad,london,60,2,,,,788503,15,313,955,701353.15,15,28,325,2,2,0,0,327,103,100000,100000,8488,504431.04,312,success,0
step2,scalability_requests,OptLoad,london,60,3,,,,618263,31,2712,15931,1045414.38,31,26,266,0,0,0,0,266,102,100000,100000,10406,409079.58,344,success,0
step2,scalability_requests,OptLoad,london,60,4,,,,803979,8,740,7984,251799.80,8,32,330,0,0,0,0,330,125,100000,100000,9782,241116.00,382,success,0
step2,scalability_requests,OptLoad,london,60,5,,,,691459,40,2329,4079,1225768.43,40,15,110,0,0,0,0,110,42,100000,100000,10800,365089.80,384,success,0
step2,scalability_requests,OptLoad,london,60,6,,,,190331,46,2460,11625,1165001.03,46,17,130,0,0,0,0,130,48,100000,100000,11094,270443.24,366,success,0
step2,scalability_requests,OptLoad,london,60,7,,,,429418,12,1051,6074,308060.18,12,17,12580,132,132,0,0,12712,2718,100000,100000,11900,314555.31,370,success,0
step2,scalability_requests,OptLoad,london,60,8,,,,424349,11,666,3006,367620.99,11,16,451,2,2,0,0,453,164,100000,100000,9992,406364.98,366,success,0
step2,scalability_requests,OptLoad,london,60,9,,,,393466,20,901,6077,457388.45,20,20,155,0,0,0,0,155,50,100000,100000,11006,306165.08,402,success,0
step2,scalability_requests,OptLoad,london,60,10,,,,176629,14,1132,7427,405383.72,14,22,241,0,0,0,0,241,80,100000,100000,10286,351004.88,354,success,0
step2,scalability_requests,Insertion,london,60,1,,,,87636,1,19,108,54202.17,1,,,,,,,,,,,,,,success,0
step2,scalability_requests,Insertion,london,60,2,,,,31456,1,11,46,46406.40,1,,,,,,,,,,,,,,success,0
step2,scalability_requests,Insertion,london,60,3,,,,77976,1,16,122,33573.87,1,,,,,,,,,,,,,,success,0
step2,scalability_requests,Insertion,london,60,4,,,,96781,1,20,146,36974.50,1,,,,,,,,,,,,,,success,0
step2,scalability_requests,Insertion,london,60,5,,,,186585,1,18,120,30766.59,1,,,,,,,,,,,,,,success,0
step2,scalability_requests,Insertion,london,60,6,,,,53205,1,16,108,27495.84,1,,,,,,,,,,,,,,success,0
step2,scalability_requests,Insertion,london,60,7,,,,37056,1,16,162,24361.12,1,,,,,,,,,,,,,,success,0
step2,scalability_requests,Insertion,london,60,8,,,,90925,1,17,84,23004.70,1,,,,,,,,,,,,,,success,0
step2,scalability_requests,Insertion,london,60,9,,,,47285,1,16,60,22578.46,1,,,,,,,,,,,,,,success,0
step2,scalability_requests,Insertion,london,60,10,,,,30085,1,11,64,22751.53,1,,,,,,,,,,,,,,success,0
step2,scalability_requests,FoodMatch,london,60,1,,,,5436,1,16,69,29531.97,1,,,,,,,,,,,,,,success,0
step2,scalability_requests,FoodMatch,london,60,2,,,,2050,1,8,19,17154.86,1,,,,,,,,,,,,,,success,0
step2,scalability_requests,FoodMatch,london,60,3,,,,4864,1,10,42,28148.58,1,,,,,,,,,,,,,,success,0
step2,scalability_requests,FoodMatch,london,60,4,,,,5302,1,11,52,18272.04,1,,,,,,,,,,,,,,success,0
step2,scalability_requests,FoodMatch,london,60,5,,,,11915,1,17,91,15217.53,1,,,,,,,,,,,,,,success,0
step2,scalability_requests,FoodMatch,london,60,6,,,,1673,1,9,37,14924.52,1,,,,,,,,,,,,,,success,0
step2,scalability_requests,FoodMatch,london,60,7,,,,1288,1,11,30,357.52,1,,,,,,,,,,,,,,success,0
step2,scalability_requests,FoodMatch,london,60,8,,,,5373,1,9,22,10690.55,1,,,,,,,,,,,,,,success,0
step2,scalability_requests,FoodMatch,london,60,9,,,,4650,1,8,39,14040.73,1,,,,,,,,,,,,,,success,0
step2,scalability_requests,FoodMatch,london,60,10,,,,3241,1,14,94,16766.79,1,,,,,,,,,,,,,,success,0
step2,scalability_requests,OptLoad,london,80,1,,,,356163,20,2022,14335,415657.63,20,38,470,0,0,0,0,470,177,100000,100000,18654,310264.26,468,success,0
step2,scalability_requests,OptLoad,london,80,2,,,,155808,10,635,4543,242128.46,10,36,385,0,0,0,0,385,145,100000,100000,19508,380757.56,488,success,0
step2,scalability_requests,OptLoad,london,80,3,,,,509972,10,893,10200,236738.25,10,44,445,0,0,0,0,445,168,100000,100000,17938,370748.64,452,success,0
step2,scalability_requests,OptLoad,london,80,4,,,,219725,10,698,5470,244271.58,10,30,266,0,0,0,0,266,103,100000,100000,19574,395544.56,492,success,0
step2,scalability_requests,OptLoad,london,80,5,,,,306911,14,1473,14342,239294.94,14,31,669,0,0,0,0,669,193,100000,100000,18682,271348.84,464,success,0
step2,scalability_requests,OptLoad,london,80,6,,,,295108,15,976,7256,455389.92,15,29,325,0,0,0,0,325,102,100000,100000,16098,434243.94,442,success,0
step2,scalability_requests,OptLoad,london,80,7,,,,553771,7,610,7994,173403.36,7,32,13938,4,4,0,0,13942,3730,100000,100000,18730,372664.02,472,success,0
step2,scalability_requests,OptLoad,london,80,8,,,,627201,20,826,3954,524680.39,20,17,13167,24,24,0,0,13191,4286,100000,100000,16508,501177.77,450,success,0
step2,scalability_requests,OptLoad,london,80,9,,,,162768,8,720,8672,172059.23,8,31,616,0,0,0,0,616,118,100000,100000,18888,322508.79,470,success,0
step2,scalability_requests,OptLoad,london,80,10,,,,688050,14,1530,8385,429078.03,14,30,248,0,0,0,0,248,96,100000,100000,19654,458396.26,494,success,0
step2,scalability_requests,Insertion,london,80,1,,,,41605,1,23,188,26439.78,1,,,,,,,,,,,,,,success,0
step2,scalability_requests,Insertion,london,80,2,,,,19321,1,15,88,27967.64,1,,,,,,,,,,,,,,success,0
step2,scalability_requests,Insertion,london,80,3,,,,61419,1,18,124,26580.40,1,,,,,,,,,,,,,,success,0
step2,scalability_requests,Insertion,london,80,4,,,,22199,1,10,62,22901.45,1,,,,,,,,,,,,,,success,0
step2,scalability_requests,Insertion,london,80,5,,,,45062,1,15,108,18400.54,1,,,,,,,,,,,,,,success,0
step2,scalability_requests,Insertion,london,80,6,,,,23339,1,18,112,28702.99,1,,,,,,,,,,,,,,success,0
step2,scalability_requests,Insertion,london,80,7,,,,59283,1,18,64,24732.67,1,,,,,,,,,,,,,,success,0
step2,scalability_requests,Insertion,london,80,8,,,,52110,1,14,90,34799.06,1,,,,,,,,,,,,,,success,0
step2,scalability_requests,Insertion,london,80,9,,,,16247,1,18,104,21477.79,1,,,,,,,,,,,,,,success,0
step2,scalability_requests,Insertion,london,80,10,,,,148938,1,17,104,31080.03,1,,,,,,,,,,,,,,success,0
step2,scalability_requests,FoodMatch,london,80,1,,,,1606,1,16,80,15629.36,1,,,,,,,,,,,,,,success,0
step2,scalability_requests,FoodMatch,london,80,2,,,,1118,1,12,62,17923.38,1,,,,,,,,,,,,,,success,0
step2,scalability_requests,FoodMatch,london,80,3,,,,3088,1,19,126,22871.49,1,,,,,,,,,,,,,,success,0
step2,scalability_requests,FoodMatch,london,80,4,,,,1273,1,9,34,11336.73,1,,,,,,,,,,,,,,success,0
step2,scalability_requests,FoodMatch,london,80,5,,,,1748,1,13,75,11788.70,1,,,,,,,,,,,,,,success,0
step2,scalability_requests,FoodMatch,london,80,6,,,,1639,1,17,78,28159.09,1,,,,,,,,,,,,,,success,0
step2,scalability_requests,FoodMatch,london,80,7,,,,3308,1,8,22,1562.82,1,,,,,,,,,,,,,,success,0
step2,scalability_requests,FoodMatch,london,80,8,,,,6470,1,11,64,9859.33,1,,,,,,,,,,,,,,success,0
step2,scalability_requests,FoodMatch,london,80,9,,,,1253,1,11,53,18323.70,1,,,,,,,,,,,,,,success,0
step2,scalability_requests,FoodMatch,london,80,10,,,,15723,1,11,73,22190.74,1,,,,,,,,,,,,,,success,0
